Team_Name,Player_Name,Position,Cost
Spare Parts Too,Alex Bregman,3B,24
Spare Parts Too,Vinnie Pasquantino,1B,21
Spare Parts Too,Ha-Seong Kim,"2B,3B,SS",19
Spare Parts Too,J.T. Realmuto,C,18
Spare Parts Too,Luis Castillo,SP,28
Spare Parts Too,Christian Yelich,LF,23
Spare Parts Too,Jazz Chisholm,CF,21
Spare Parts Too,Kyle Schwarber,LF,17
Spare Parts Too,Jose Leclerc,RP,7
Spare Parts Too,Casey Mize,SP,6
Spare Parts Too,Willy Adames,SS,9
Spare Parts Too,Michael Wacha,SP,2
Spare Parts Too,Marcus Stroman,SP,4
Spare Parts Too,Kenta Maeda,SP,3
Spare Parts Too,Will Benson,"LF,RF",2
Spare Parts Too,MacKenzie Gore,SP,2
Spare Parts Too,Joe Boyle,SP,1
Spare Parts Too,Michael Lorenzen,"SP,RP",1
Spare Parts Too,Evan Phillips,RP,14
Spare Parts Too,Nick Castellanos,RF,22
Spare Parts Too,Triston Casas,1B,16
Big Daddy's Funk,Bo Bichette,SS,36
Big Daddy's Funk,Juan Soto,LF,54
Big Daddy's Funk,Mike Trout,CF,23
Big Daddy's Funk,Nolan Jones,"1B,LF,RF",26
Big Daddy's Funk,Seiya Suzuki,RF,16
Big Daddy's Funk,Max Fried,SP,23
Big Daddy's Funk,Justin Steele,SP,14
Big Daddy's Funk,Bailey Ober,SP,12
Big Daddy's Funk,Masataka Yoshida,LF,10
Big Daddy's Funk,Christopher Morel,"2B,CF,RF",12
Big Daddy's Funk,Eduardo Rodriguez,SP,6
Big Daddy's Funk,Shota Imanaga,SP,9
Big Daddy's Funk,Kyle Finnegan,RP,3
Big Daddy's Funk,MJ Melendez,"C,LF,RF",4
Big Daddy's Funk,Carlos Estevez,RP,4
Big Daddy's Funk,Griffin Jax,RP,2
Big Daddy's Funk,Eugenio Suarez,3B,2
Big Daddy's Funk,Chris Martin,RP,1
Big Daddy's Funk,Jacob deGrom,SP,1
Big Daddy's Funk,Caleb Ferguson,"SP,RP",1
Big Daddy's Funk,Erik Swanson,RP,1
Springfield Isotopes,Mookie Betts,"2B,SS,RF",63
Springfield Isotopes,Austin Riley,3B,46
Springfield Isotopes,Cody Bellinger,"1B,CF",27
Springfield Isotopes,Will Smith,C,18
Springfield Isotopes,Bobby Miller,SP,17
Springfield Isotopes,Ryan Pressly,RP,17
Springfield Isotopes,Alexis Diaz,RP,16
