IDfg,Name,avg_ip,avg_app,avg_w,avg_sv,avg_k,avg_hld,avg_qs,earned_runs_below_avg,walks_hits_below_avg,k_bb_ratio_adjustment,avg_era,avg_whip,avg_k_bb,total_ip,total_app,total_w,total_sv,total_k,total_hld,total_h,total_er,total_bb,stddev_ip,stddev_app,stddev_w,stddev_sv,stddev_k,stddev_hld,stddev_qs,stddev_era,stddev_whip,stddev_k_bb,SeasonsPlayed,LatestAge,eligible_positions,consistency_ip,consistency_app,consistency_w,consistency_sv,consistency_k,consistency_hld,consistency_qs,consistency_era,consistency_whip,consistency_k_bb,overall_consistency,overall_consistency_cat,value_app,value_w,value_sv,value_k,value_hld,value_qs,value_era,value_whip,value_k_bb,total_value,rp_rank,sp_rank,adjusted_total_value,scaled_value_0_20,player_draft_value
13125,Gerrit Cole,196.76666666666665,32.0,14.666666666666666,0.0,240.66666666666666,0.0,21.103886991869917,30.51074114549806,88.77604937697424,1.6909695856613767,3.1102829069964426,1.0181263764187702,5.230609756097561,590.3,3,44,0,722,0,462,204,139,14.263356313761973,1.7320508075688772,1.5275252316519468,0.0,17.616280348965084,0.0,0.0,0.4453088815642466,0.040000000000000036,0.6550063612922652,3,32,SP,0.9324107721151847,0.9486526681271263,0.9056745010036256,1.0,0.9317946440037371,1.0,1.0,0.8747581533411888,0.96219733210377,0.8887106552265679,0.94441987259212,Guarantee,-0.21502248534734045,2.4290358859042342,-0.5199424156203887,2.6868349001717045,-0.6706267479461651,2.8768285495678243,0.523520665268328,1.1075747196222712,1.2939959042502953,9.512198975870763,0,1,10.46341887345784,20.0,17.369275329940013
10954,Jacob deGrom,62.06666666666666,10.666666666666668,4.666666666666667,0.0,97.66666666666667,0.0,1.7433983739837398,31.97238692409239,95.57801184820025,9.235855416127439,2.030075187969925,0.6552094522019335,12.424242424242424,186.2,3,14,0,293,0,99,42,23,31.00005376339424,4.509249752822894,2.5166114784235836,0.0,50.63924696649165,0.0,0.0,1.0564247882993532,0.11846237095944571,1.0488724104166975,3,35,SP,0.6669050588637578,0.7028680424839503,0.6496569633540252,1.0,0.6585487002780603,1.0,1.0,0.6577272650504674,0.8468829193295621,0.9221507110057053,0.8104739660365528,Average Consistent,-1.4849334547101547,-0.4620851583561465,-0.5199424156203887,-0.1527702836714364,-0.6706267479461651,-0.48687415101551845,1.7346191356212595,3.5704856981937114,7.019441502660367,8.547314125155529,0,2,6.837851300124424,16.777592741396447,11.350833158206543
21032,Emmanuel Clase,71.2,74.33333333333333,3.3333333333333335,36.666666666666664,71.66666666666667,2.0,0.0,37.8576898334379,45.59539919857991,1.6157726003924489,1.9803370786516852,0.9550561797752808,5.441666666666666,213.60000000000002,3,10,110,215,6,162,47,42,1.7320508075688772,3.0550504633038935,0.5773502691896258,11.015141094572204,6.806859285554046,3.4641016151377544,0.0,1.0946384486821819,0.2151743479135001,1.979553821782407,3,25,RP,0.9762511709407584,0.9605231390885224,0.8523658961269199,0.7689865042506516,0.9132591634827462,0.36602540378443865,1.0,0.6440171835672204,0.8161265299252858,0.7332576461158204,0.8030812637282363,Average Consistent,2.3049570944819937,-0.8475679642575307,3.8850004883765825,-0.6690621352792803,-0.32344387400943375,-0.7897732118038917,1.7903841029072305,1.5355963118065448,1.4619770780712742,8.348067890293489,1,0,8.348067890293489,18.119874412828633,13.857792697887191
19361,Corbin Burnes,187.4,31.0,11.0,0.0,225.66666666666666,0.0,19.652449322493222,39.34734655598686,97.94069957603756,0.9801686899541013,2.9455709711846314,0.9943080754180006,4.892453951277481,562.2,3,33,0,677,0,408,184,151,18.2065922127124,2.6457513110645907,1.0,0.0,22.678918257565403,0.0,0.0,0.4803123983409131,0.06806859285554051,1.9282893973675221,3,28,SP,0.9114493751548755,0.9213644752169787,0.9166666666666667,1.0,0.9086800022457234,1.0,1.0,0.8597989637903429,0.9359280047385093,0.7172904331973445,0.9171177921010442,Guarantee,-0.2745495620362224,1.368958169675428,-0.5199424156203887,2.3889742165517944,-0.6706267479461651,2.624654913634878,0.7081910485630596,1.2692159964855816,1.0248561311204518,7.919731750428418,0,3,9.582875418018386,19.217372296907673,15.907573193910519
8700,Justin Verlander,168.55,27.5,15.5,0.0,164.5,0.0,16.09215162601626,41.92100769125429,64.9073458325903,0.9426709272907758,2.456244437852269,0.975971521803619,4.789655172413793,337.1,2,31,0,329,0,255,92,74,9.121677477306466,0.7071067811865476,3.5355339059327378,0.0,28.991378028648448,0.0,0.0,1.0394469683442251,0.2121320343559642,2.248599564173221,2,40,SP,0.9486599237040942,0.974931609020668,0.814266627697223,1.0,0.8501670807039476,1.0,1.0,0.7026491049805792,0.8214532451685793,0.6805174509407412,0.8792645042215831,Highly Consistent,-0.48289433044730906,2.6699626395925993,-0.5199424156203887,1.1743645400128289,-0.6706267479461651,2.0060866939538733,1.2568101757768495,1.3936557682142792,0.943038106331202,7.77045442986777,0,4,6.216363543894216,16.225213943787075,10.319163482864399
3137,Max Scherzer,158.79999999999998,26.666666666666668,13.0,0.0,194.33333333333334,0.0,13.344050677506774,39.261252044240706,98.68187349346181,2.0491059337257824,2.8337531486146097,0.9613769941225861,5.8768518518518515,476.4,3,39,0,583,0,353,150,105,17.935160997325898,3.511884584284246,2.0,0.0,36.08785575970583,0.0,0.0,0.8098765338000602,0.13796134724383258,1.770790783802536,3,38,SP,0.8985195651158671,0.8836297821230372,0.8666666666666667,1.0,0.8433830851157776,1.0,1.0,0.7777280886395275,0.8745051072517365,0.7684527287471751,0.8912885023659787,Highly Consistent,-0.532500227688044,1.9471823785275042,-0.5199424156203887,1.7667763441013165,-0.6706267479461651,1.5286300158493171,0.8335580418620812,1.492700535912145,1.8083429849718757,7.654120909969642,0,5,6.123296727975713,16.14249608593863,10.164672568439684
10310,Zack Wheeler,186.03333333333333,30.0,13.0,0.0,207.33333333333334,0.0,18.508444444444443,30.718523857873095,71.14977665134563,1.7236157376473513,3.0800931732664396,1.0410320731051783,5.199860100115854,558.1,3,39,0,622,0,462,191,119,30.491036934373568,3.4641016151377544,1.0,0.0,42.19399641339196,0.0,0.0,0.4680811895387381,0.035118845842842555,0.35679125549822555,3,33,SP,0.8591796530955154,0.8964830535426433,0.9285714285714286,1.0,0.8309043083328002,1.0,1.0,0.8680783012115915,0.967366244618206,0.9357902390010943,0.9286373228373279,Guarantee,-0.3340766387251043,1.9471823785275042,-0.5199424156203887,2.0249222699052383,-0.6706267479461651,2.425894832021125,0.5573685444278282,0.9521267697573731,1.2695221104642016,7.652371102811612,0,6,8.417608213092773,18.181681905427098,13.973229633734002
14107,Kevin Gausman,183.73333333333332,31.666666666666668,12.666666666666666,0.0,223.0,0.0,18.79234092140921,28.977334439096325,10.08700392442529,1.5268001693147553,3.1023222060957907,1.1502177068214803,5.390173160173161,551.2,3,38,0,669,0,501,190,133,8.967348177322739,1.1547005383792517,1.1547005383792517,0.0,16.3707055437449,0.0,0.0,0.27392213005402344,0.10263202878893764,1.6753805537847217,3,32,SP,0.953464886024148,0.964818633813593,0.9164554040675735,1.0,0.9316094026353064,1.0,1.0,0.9188678002000301,0.9180811346550407,0.7628805014283543,0.9366177762824046,Guarantee,-0.23486484424363435,1.850811677052158,-0.5199424156203887,2.3360212061304773,-0.6706267479461651,2.4752191732141595,0.5324459789037511,0.21114590598953115,1.4209931574708394,7.4012030909507285,0,7,8.141323400045803,17.93611975026199,13.514596844076031
27498,Spencer Strider,158.7,31.5,15.5,0.0,241.5,1.0,12.074278048780485,7.094713263732146,35.8875454383392,1.186045369694345,3.3742911153119093,1.0554505356017645,4.666858237547893,317.4,2,31,0,483,2,232,119,103,38.890872965260115,0.7071067811865476,6.363961030678928,0.0,55.86143571373726,1.4142135623730951,0.0,0.8414570696119915,0.07071067811865482,0.24748737341529137,2,24,SP,0.8031747500194616,0.9780450077061998,0.7089291815993823,1.0,0.8121429714661664,0.4142135623730951,1.0,0.8004014868295126,0.937210874200637,0.9496398110740965,0.8403757645268553,Highly Consistent,-0.2447860236917814,2.6699626395925993,-0.5199424156203887,2.7033827159283663,-0.4970353109777994,1.3080189711245707,0.2275220979375657,0.8542768564374166,0.8453034564456764,7.346702987176226,0,8,7.346702987176226,17.22986051374989,12.195526958712534
17130,Raisel Iglesias,62.4,63.333333333333336,4.666666666666667,28.0,83.0,5.0,0.0,20.36966075290063,27.74652963471044,2.5698957130521474,2.5961538461538463,1.0202991452991454,6.229365079365079,187.2,3,14,84,249,15,150,54,41,7.408103670980853,4.725815626252609,2.5166114784235836,9.539392014169456,18.027756377319946,8.660254037844387,0.0,0.1418919776919517,0.13999999999999999,2.1033386159468788,3,33,RP,0.8938790300636631,0.9305631101990588,0.6496569633540252,0.7458831509426482,0.8215564016883675,0.3660254037844386,1.0,0.9481776468252627,0.8793414607196788,0.7475802941210746,0.7982663461698216,Average Consistent,1.650159250904293,-0.4620851583561465,2.8438321656136623,-0.44401184098868174,0.1973304368956631,-0.7897732118038917,1.09994768775952,1.092829371658898,2.088909897400479,7.277138599083795,2,0,7.277138599083795,17.168031631900295,12.080050074479098
