full_name,eligible_positions,IDfg
Matt Canterino,SP,64
Erik Miller,RP,1008928
Joey Cantillo,SP,-1
Seth Johnson,SP,1006479
Riley O'Brien,P,20348
Andry Lara,SP,1013366
Matthew Thompson,SP,-1
Max Kranick,SP,22175
Tyler Baum,RP,13359
Cole Wilcox,SP,1013939
Cade Cavalli,SP,27473
Clayton Beeter,SP,1007273
Max Meyer,SP,27474
Landon Knack,SP,1529
Jake Brentz,RP,17783
Ricky Vanasco,"SP,RP",3830
Lucas Gilbreath,RP,21290
Christian Roa,SP,16434
Tanner Burns,SP,16990
Dax Fulton,SP,1004404
Mick Abel,SP,3693
Justin Lange,SP,803
Bailey Horn,RP,-1
Tink Hence,SP,1013235
Cole Henry,SP,-1
Anthony Bender,RP,19742
Cody Poteet,RP,18769
Mitch Spence,SP,1012320
Scott Effross,RP,18384
Naoyuki Uwasawa,P,7782
Yariel Rodriguez,P,1011110
Liam Hendriks,RP,3548
Daniel Hudson,RP,7146
Dinelson Lamet,"SP,RP",17186
Michael Lorenzen (Pitcher),"SP,RP",14843
Scott Alexander,"SP,RP",10591
Spencer Turnbull,SP,16207
Ryne Stanek,RP,15947
Dominic Leone,RP,13763
Corey Knebel,RP,15010
Juan Then,RP,22828
Josh Fleming,"SP,RP",20418
