full_name,eligible_positions,IDfg
Ryan Thompson,RP,16647
Trent Thornton,RP,17948
Drew Smith,RP,17755
Dustin May,SP,19716
Brayan Bello,SP,23920
Sean Manaea,"SP,RP",15873
Abner Uribe,RP,25327
Bryce Elder,SP,27779
Trevor Gott,RP,15046
Scott Barlow,RP,14993
Matt Manning,SP,20369
Victor González,RP,16408
Tyler Alexander,RP,17735
Kyle Gibson,SP,10123
José Soriano,RP,22100
Carlos Hernández,"SP,RP",22713
Luke Jackson,RP,11752
James Karinchak,RP,20151
Jacob Webb,RP,19274
Isaiah Campbell,RP,25551
James McArthur,RP,21527
Ron Marinaccio,RP,23488
Jon Gray,SP,14916
Trevor Richards,RP,19309
Nick Ramirez,RP,12575
Andrew Abbott,SP,29911
Tristan Beck,RP,21584
Trevor Megill,RP,17722
Cionel Pérez,RP,19614
José Cisnero,RP,6399
Huascar Brazoban,RP,6107
Luis García,RP,140
Louie Varland,"SP,RP",27691
Yu Darvish,SP,13074
Kody Funderburk,RP,24993
DL Hall,RP,22207
Jose Cuas,RP,17701
Charlie Morton,SP,1009231
Cristian Javier,SP,17606
Robert Garcia,RP,23363
Jonathan Loáisiga,RP,19753
Miguel Díaz,RP,18815
Tayler Saucedo,RP,17888
JT Chargois,"SP,RP",13767
John Schreiber,RP,20020
Jhony Brito,"SP,RP",25386
Jameson Taillon,SP,11674
Jake Diekman,RP,5003
Garrett Whitlock,"SP,RP",20191
Andrew Wantz,RP,24933
Joe Mantiply,RP,14857
Joe Boyle,SP,29608
John Means,SP,16269
Nate Pearson,RP,20160
Daniel Palencia,RP,27914
Alex Faedo,SP,19874
John King,RP,22051
Ty Adcock,RP,25651
J.P. France,SP,21212
Colin Rea,SP,12317
Bryan Woo,SP,30279
James Paxton,SP,11828
Tyler Mahle,SP,16358
Rafael Montero,RP,12760
Hunter Brown,SP,25880
Beau Brieske,RP,26079
Andrew Kittredge,RP,12828
Dany Jiménez,RP,21170
Miles Mikolas,SP,9803
JP Sears,SP,23429
Grayson Rodriguez,SP,24492
Andrew Heaney,"SP,RP",15423
Jimmy Herget,RP,17556
Jose Hernandez,RP,22318
Dylan Lee,RP,19996
Yency Almonte,RP,15068
Lucas Giolito,SP,15474
