full_name,display_position
Alex Faedo,SP
John King,RP
Ty Adcock,RP
J.P. France,SP
Colin Rea,SP
Bryan Woo,SP
James Paxton,SP
Tyler Mahle,SP
Rafael Montero,RP
Hunter Brown,SP
Beau Brieske,RP
Andrew Kittredge,RP
Dany Jiménez,RP
Miles Mikolas,SP
JP Sears,SP
Grayson Rodriguez,SP
Andrew Heaney,"SP,RP"
Jimmy Herget,RP
Jose Hernandez,RP
Dylan Lee,RP
Yency Almonte,RP
Lucas Giolito,SP
Keaton Winn,SP
Jorge López,RP
Anthony DeSclafani,SP
Steven Matz,"SP,RP"
Ray Kerr,RP
Penn Murfee,RP
Andrew Saalfrank,RP
Chad Green,RP
Tanner Banks,RP
Taijuan Walker,SP
Garrett Cleavinger,RP
Adam Kolarek,RP
José Quintana,SP
Zack Weiss,RP
Gavin Williams,SP
Bruce Zimmermann,RP
Sawyer Gipson-Long,SP
Clarke Schmidt,SP
Cody Bradford,"SP,RP"
Zach Jackson,RP
John McMillon,RP
Bryce Jarvis,RP
Angel Zerpa,RP
Austin Adams,RP
Nestor Cortes,SP
Adrian Houser,SP
José Quijada,RP
Joey Lucchesi,SP
Jose A. Ferrer,RP
Germán Márquez,SP
Grant Hartwig,RP
Brendan White,RP
Tejay Antone,P
Bennett Sousa,RP
Hayden Wesneski,"SP,RP"
Logan Allen,SP
Connor Brogdon,RP
Jake Latz,RP
Taylor Clarke,RP
Alek Jacob,RP
Luis Garcia,SP
Luke Little,RP
Kyle Harrison,SP
Phil Bickford,RP
Sean Reid-Foley,RP
Darius Vines,P
Chase Silseth,"SP,RP"
Emmet Sheehan,SP
Nick Vespi,RP
Aaron Bummer,RP
Kyle Hurt,RP
Jordan Wicks,SP
Nick Nelson,RP
Zack Thompson,"SP,RP"
Eduard Bazardo,RP
Lucas Erceg,RP
Yoendrys Gómez,RP
Jonathan Hernández,RP
Thyago Vieira,RP
Mason Miller,SP
Daniel Duarte,RP
Trevor Rogers,SP
Sean Newcomb,RP
Slade Cecconi,SP
Brandon Williamson,SP
Kris Bubic,SP
Cole Irvin,"SP,RP"
J.B. Bukauskas,RP
Mason Thompson,RP
Orion Kerkering,RP
Angel Felipe,RP
Greg Weissert,RP
Luis F. Ortiz,RP
Austin Warren,RP
Randy Vásquez,"SP,RP"
Chris Paddack,RP
Reid Detmers,SP
Guillermo Zuñiga,RP
Jacob Lopez,P
Drey Jameson,RP
Michael Kelly,RP
Zach Pop,RP
Matt Gage,RP
Andre Pallante,RP
Pedro Avila,"SP,RP"
MacKenzie Gore,SP
Yohan Ramirez,RP
Oliver Ortega,RP
Frankie Montas,RP
Grant Anderson,RP
Jonathan Bowlan,P
Hagen Danner,RP
Dylan Cease,SP
Andrew Bellatti,RP
Xzavion Curry,"SP,RP"
George Soriano,RP
Tyler Kinley,RP
Josh Winder,RP
Hunter Greene,SP
AJ Smith-Shawver,SP
Prelander Berroa,RP
Parker Mushinski,RP
Tanner Rainey,RP
Sammy Peralta,RP
Michael Rucker,RP
Tony Gonsolin,SP
Andre Jackson,"SP,RP"
Jackson Wolf,SP
Seth Martinez,RP
Anthony Veneziano,RP
Matt Waldron,SP
Brent Headrick,RP
Antonio Senzatela,SP
Daniel Lynch IV,SP
Jonathan Heasley,RP
Jackson Stephens,RP
Tim Herrin,RP
Davis Daniel,RP
Allan Winans,SP
Mauricio Llovera,RP
Janson Junk,P
Keegan Akin,RP
Keegan Thompson,RP
Darren McCaughan,RP
Yunior Marte,RP
Joe Jacques,RP
Ben Joyce,RP
Drew Smyly,"SP,RP"
Sam Bachman,RP
Luis Frías,RP
Daysbel Hernández,RP
Tim Hill,RP
Emerson Hancock,SP
Nick Mears,RP
Ranger Suárez,SP
Josh Staumont,RP
Kelvin Caceres,RP
Francisco Pérez,RP
Carlos Vargas,RP
Lane Ramsey,RP
Kaleb Ort,RP
Jimmy Lambert,RP
Dylan Covey,RP
Chris Murphy,RP
Austin Voth,RP
Deivi García,RP
Hunter Gaddis,SP
Kenny Rosenberg,SP
Martín Pérez,"SP,RP"
José Butto,SP
Jordan Balazovic,RP
Gavin Hollowell,RP
Shawn Dubin,P
Joey Estes,SP
Cole Sands,RP
Johan Oviedo,SP
Owen White,RP
Logan Gillaspie,RP
Josh Walker,RP
Victor Vodnik,RP
Tommy Henry,SP
Zack Kelly,RP
Victor Mederos,RP
Riley Pint,RP
Jorge Alcala,RP
Reed Garrett,RP
Kolby Allard,SP
Graham Ashcraft,SP
Lance Lynn,SP
Jalen Beeks,"SP,RP"
Mason Englert,RP
Ethan Small,RP
Alex Speas,RP
Bryan Hudson,RP
Cody Morris,RP
Freddy Tarnok,P
Simeon Woods Richardson,RP
Nick Robertson,RP
Kyle Nicolas,RP
Adam Cimber,RP
Joel Kuhnel,RP
Josh Taylor,RP
Steven Cruz,"SP,RP"
Kolton Ingram,RP
Taj Bradley,SP
Max Castillo,RP
Tanner Houck,SP
Casey Legumina,RP
Ben Lively,"SP,RP"
Mitch White,RP
Robbie Ray,SP
Adrian Morejon,RP
Ross Stripling,"SP,RP"
Adrián Martínez,RP
Yerry Rodríguez,RP
Jackson Rutledge,SP
Garrett Crochet,RP
Marco Gonzales,SP
Declan Cronin,RP
Devin Sweet,RP
Collin Snider,RP
Ronel Blanco,"SP,RP"
Nick Lodolo,SP
Bryan Hoeing,"SP,RP"
Connor Phillips,SP
Michael Soroka,SP
Triston McKenzie,SP
Josiah Gray,SP
Glenn Otto,RP
Carson Spiers,P
Luis Patiño,RP
Cooper Criswell,RP
Peter Lambert,"SP,RP"
Calvin Faucher,"SP,RP"
Brandon Pfaadt,SP
Brandon Walter,RP
McKinley Moore,RP
Jeremiah Estrada,RP
Clayton Andrews,RP
Edward Cabrera,SP
Caleb Kilian,P
Bailey Falter,SP
Sean Hjelle,RP
Shintaro Fujinami,"SP,RP"
Matthew Liberatore,"SP,RP"
Michael Grove,"SP,RP"
Alex Wood,"SP,RP"
Wes Parsons,SP
Brandon Bielak,SP
Daniel Bard,RP
Evan Justice,RP
Paul Blackburn,SP
Colin Selby,"SP,RP"
José Urquidy,"SP,RP"
Amos Willingham,RP
Osvaldo Bido,"SP,RP"
Zach Plesac,SP
Levi Stoudt,P
Cody Bolton,RP
Dylan Coleman,RP
Matt Krook,RP
Jackson Kowar,RP
Justin Martinez,RP
Gus Varland,RP
Brady Singer,SP
Jake Irvin,SP
Dakota Hudson,"SP,RP"
Patrick Sandoval,SP
Ryne Nelson,SP
David Peterson,"SP,RP"
James Naile,RP
Kyle Freeland,SP
Carlos Rodón,SP
Patrick Corbin,SP
Kyle Wright,SP
Austin Gomber,SP
Thaddeus Ward,RP
Jared Shuster,SP
Cal Quantrill,SP
Lyon Richardson,SP
Jordan Lyles,SP
Jesse Scholtens,"SP,RP"
Jack Flaherty,SP
Joan Adon,SP
Alec Marsh,"SP,RP"
Tylor Megill,SP
Touki Toussaint,SP
Ryan Feltner,SP
Hogan Harris,"SP,RP"
Dylan Dodd,SP
Roansy Contreras,"SP,RP"
Gavin Stone,SP
Drew Rucinski,SP
Noah Davis,SP
José Suarez,SP
Tyler Anderson,SP
Luis Medina,"SP,RP"
Ryan Weathers,SP
Drew Rom,SP
Luis Severino,SP
Luis L. Ortiz,SP
Quinn Priester,SP
Ken Waldichuk,"SP,RP"
Luke Weaver,SP
Trevor Williams,SP
Michael Kopech,SP
Carlos Carrasco,SP
Alek Manoah,SP
Chris Flexen,"SP,RP"
Joey Wentz,"SP,RP"
Kyle Muller,"SP,RP"
Randy Rodríguez,"SP,RP"
Ryan Cusick,SP
Spencer Schwellenbach,SP
Wikelman Gonzalez,SP
Doug Nikhazy,SP
Jaden Hill,SP
Joe Rock,SP
Sean Burke,SP
Tanner McDougal,SP
Jackson Jobe,SP
Ty Madden,SP
Dylan Smith,SP
Chayce McDermott,SP
Jaime Melendez,SP
Frank Mozzicato,SP
Ben Kudrna,SP
Ky Bush,SP
Mason Albright,SP
Alejandro Hidalgo,P
Maddux Bruns,SP
Chase Petty,SP
Dominic Hamel,SP
Calvin Ziegler,SP
Brendan Beck,SP
Brock Selvidge,SP
Anthony Solometo,SP
Bubba Chandler,SP
Mike Burrows,SP
Robert Gasser,SP
Victor Lizarraga,SP
Adam Macko,SP
Michael Morales,SP
Will Bednar,SP
Michael McGreevy,SP
Edwin Nunez,RP
Ian Bedell,SP
Jack Leiter,SP
Gunnar Hoglund,SP
Sem Robberse,SP
Ricky Tiedemann,SP
Chad Dallas,SP
Mitchell Parker,SP
Anthony Maldonado,RP
Davis Martin,"SP,RP"
Stephen Strasburg,SP
Moises Gomez,SP
Sean Reynolds,RP
Zak Kent,SP
Colby White,RP
Yosver Zulueta,SP
Roddery Muñoz,P
Ben Brown,SP
Josh Simpson,RP
Chase Hampton,SP
Mason Fluharty,RP
Jordan Leasure,RP
Jack Perkins,SP
Connor Cooke,RP
Luis De Avila,SP
Andrew Walters,P
Kade Morris,P
Alex Clemmey,P
Garrett Baumann,P
Hunter Owen,P
Sean Sullivan,SP
Josh Knoth,P
Camden Minacci,P
Lance McCullers,SP
Seth Keener,SP
Blake Wolters,P
Kyle Carr,P
Jack Mahoney,P
Quinn Mathews,P
Drue Hackenberg,P
Brady Smith,P
Landen Maroudis,P
Jackson Baumeister,P
Isaiah Coupet,P
Bishop Letson,P
Jake Bloss,SP
Andrew Lindsey,P
Connor O'Halloran,P
Blake Treinen,RP
Cole Miller,P
Nolan McLean,P
Ty Floyd,P
Grayson Hitt,P
Zander Mueth,P
Cade Kuehler,P
Paul Wilson,P
Joe Whitman,SP
Hurston Waldrep,SP
Paul Skenes,SP
Chase Dollander,P
Rhett Lowder,SP
Tyler Matzek,RP
Noble Meyer,SP
Thomas White,P
Charlee Soto,P
Travis Sykora,P
Cole Schoenwetter,P
Steven Echavarria,P
Alonzo Tredwell,P
Juaron Watts-Brown,P
Brandon Sproat,P
Teddy McGraw,P
Hunter Hollan,P
Tanner Hall,P
Grant Taylor,P
Jaxon Wiggins,P
Barrett Kent,P
Blake Dickerson,P
George Klassen,P
Nigel Belgrave,P
Trevor Harrison,P
Hiro Wyatt,P
Cade Denton,P
Lucas Braun,SP
Cade Smith,P
Joe Ross,SP
Justin Jarvis,SP
DJ Herz,SP
Jake Eder,SP
Bradley Blalock,SP
Zach Showalter,SP
Yoshinobu Yamamoto,SP
Keider Montero,SP
Edwin Díaz,RP
Dillon Tate,RP
Erick Fedde,SP
Brady Basso,SP
Angel Chivilli,RP
Juan Mejia,RP
Yoniel Curet,SP
Michael Arias,SP
Jose Corniell,SP
Kai-Wei Teng,SP
Will Klein,RP
Ryan Fernandez,RP
Justin Slaten,RP
Josimar Cousin,SP
Yuki Matsui,P
Woo-Suk Go,RP
Ricardo Yan,SP
Tyler Owens,P
Luis De León,SP
Juan Nunez,SP
Alex Pham,SP
Angel Bastardo,SP
Yordanny Monegro,SP
Dalton Rogers,SP
Brody McCullough,SP
Eric Adler,P
Julian Aguiar,SP
Adam Serwinowski,P
Zach Maxwell,P
Jackson Humphries,SP
Will Dion,SP
Jordy Vargas,SP
Rhett Kouba,SP
Trey Dombroski,P
Jose Fleury,P
Luinder Avila,SP
Jorge Marcheco,SP
Adrian Acosta,SP
River Ryan,SP
Payton Martin,SP
Justin Wrobleski,SP
Hyun-Seok Jang,P
Jesus Tillero,SP
Patrick Monteverde,SP
Juan De La Cruz,SP
Evan Fitterer,SP
Matt Pushard,P
Ike Buxton,SP
Patricio Aquino,SP
Cory Lewis,SP
C.J. Culpepper,SP
Zebby Matthews,SP
Andrew Morris,SP
Tyler Stuart,SP
Raimon Gomez,P
Henry Lalane,SP
Zach Messinger,SP
Carlos Lagrange,SP
Danny Watson,P
Luis Morales,SP
Wen Hui Pan,P
Samuel Aldegheri,SP
Po-Yu Chen,SP
Isaiah Lowe,P
